timestamp_iso,filename,result_type,raw_score,threshold,file_path,file_sha256,file_size_bytes,decoded_width,decoded_height
2026-07-12T11:18:46.130960Z,gA_223.jpg,fraudulent,0.223858,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_223.jpg,5ff244a772dacb5dcc55efbc8a2247513daa7f7670ce3f264abb6ba90f6ce5e2,99790,945,2048
2026-07-12T11:18:49.734753Z,gA_249.jpg,fraudulent,0.965773,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_249.jpg,a8fd225348148ab9dea9c2a5f44ca87ec71d690fe3cf07b9e2e5abf517cd6ebc,87656,1046,2048
2026-07-12T11:18:53.307833Z,gA_250.jpg,fraudulent,0.953946,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_250.jpg,f16f3557f31d95d73dd0ac6f0db3b181a169eada1741a050ac5e97c306b3f564,84436,1046,2048
2026-07-12T11:18:56.876040Z,gA_275.jpg,fraudulent,0.962457,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_275.jpg,7fe107fa6e1a00de3ef67dec58c6a62a86ed1179548936acb816e0ad99129719,70062,1046,2048
2026-07-12T11:19:00.277499Z,gA_276.jfif,fraudulent,0.421063,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_276.jfif,feca4256a2135318261d0e32f1cf72ce1855b6427ad56540ab32ba5d1db3637c,75852,980,2047
2026-07-12T11:19:04.068172Z,gA_277.jfif,fraudulent,0.421063,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_277.jfif,feca4256a2135318261d0e32f1cf72ce1855b6427ad56540ab32ba5d1db3637c,75852,980,2047
2026-07-12T11:19:08.371187Z,gA_278.jpg,fraudulent,0.922855,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_278.jpg,0333c256e8c1bf2164bf2d83775d9b08777c974dd5abc39a846bf5c04233e5f8,85119,1046,2048
2026-07-12T11:19:11.446401Z,gA_279.jfif,unclear,0.161283,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_279.jfif,ea8a1cd6f02a9d5cd2aa8170d15df83869459a8c7ea61995225c90fe6932e466,60389,784,2045
2026-07-12T11:19:15.097967Z,gA_280.jpg,fraudulent,0.954482,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_280.jpg,5df33be24f57aac9d7b17ec65fca539ccde1b8768522b2a86daaa7704742c4ec,69923,1046,2048
2026-07-12T11:19:18.184528Z,gA_281.jfif,fraudulent,0.520904,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_281.jfif,43e184271ffc80d6d066d017ed1b87742882cf9b62308762fd1dd0facdea8115,66569,980,2046
2026-07-12T11:19:20.538312Z,gA_282.jpg,fraudulent,0.999070,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_282.jpg,38f9d970904e750ed7bee9161cd980232787e2a538dda0bd492caa984e0db976,68091,852,1846
2026-07-12T11:19:22.295479Z,gA_283.jpg,fraudulent,0.979444,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_283.jpg,1b25629efb92b56d1410fecb8ded812511a1d463ba1faa5d8b1b1099658a7d3d,65362,720,1600
2026-07-12T11:19:24.217474Z,gA_284.jpg,fraudulent,0.625849,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_284.jpg,7bf288b9938264fb3eecb5f635cce5bdba8fee11309529c848df0fb473ee0b03,79763,720,1600
2026-07-12T11:19:25.989354Z,gA_285.jpg,fraudulent,0.625849,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_285.jpg,467712d251d54a51128f3c2fa35147786376dfd0af4454e1cd256d42a6b97ac6,74504,720,1600
2026-07-12T11:19:27.779163Z,gA_287.jfif,fraudulent,0.759825,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_287.jfif,8dfdc574863619cb4e7a2722704ee0bb63f136a98bd1ff39e2d3284b67610e24,44468,720,1600
2026-07-12T11:19:29.781312Z,gA_288.jfif,fraudulent,0.358113,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_288.jfif,1535868cf34b353d19b1ff36e10b7b9d3481e7dd27a19d078d765932109c159d,37689,720,1675
2026-07-12T11:19:31.741925Z,gA_289.jfif,fraudulent,0.968592,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_289.jfif,55483c9787bcf95e7853092a43ffcc4ed79ea36fa35e360f37c4deaa309d7ff7,33262,720,1502
2026-07-12T11:19:31.751085Z,gA_291.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_291.jfif,,0,,
2026-07-12T11:19:31.755954Z,gA_292.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_292.jfif,,0,,
2026-07-12T11:19:31.757478Z,gA_303.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_303.jfif,,0,,
2026-07-12T11:19:31.758617Z,gA_304.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_304.jfif,,0,,
2026-07-12T11:19:31.759811Z,gA_305.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_305.jfif,,0,,
2026-07-12T11:19:31.760835Z,gA_306.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_306.jfif,,0,,
2026-07-12T11:19:31.761589Z,gA_307.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_307.jfif,,0,,
2026-07-12T11:19:31.766633Z,gA_308.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_308.jfif,,0,,
2026-07-12T11:19:31.767276Z,gA_309.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_309.jfif,,0,,
2026-07-12T11:19:31.780455Z,gA_310.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_310.jfif,,0,,
2026-07-12T11:19:31.785396Z,gA_311.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_311.jfif,,0,,
2026-07-12T11:19:31.794790Z,gA_312.jfif,error,,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_312.jfif,,0,,
